Timestamp,CPU%,MEM%,RSS (MB)
2023-10-18_07:04:20,0.9,1.3,109.48
2023-10-18_07:04:26,0.9,1.3,109.48
2023-10-18_07:04:31,0.9,1.3,109.48
2023-10-18_07:04:36,0.9,1.3,109.48
2023-10-18_07:04:41,0.8,1.3,109.48
2023-10-18_07:04:47,0.8,1.3,109.48
2023-10-18_07:04:52,0.8,1.3,109.48
2023-10-18_07:04:57,0.8,1.3,109.48
2023-10-18_07:05:03,0.7,1.3,109.48
2023-10-18_07:05:08,0.7,1.3,109.48
2023-10-18_07:05:13,0.7,1.3,109.48
2023-10-18_07:05:18,0.7,1.3,109.48
2023-10-18_07:05:24,0.7,1.3,109.48
2023-10-18_07:05:29,0.7,1.3,109.48
2023-10-18_07:05:34,1.2,1.7,136.62
2023-10-18_07:05:40,2.0,1.9,158.52
2023-10-18_07:05:45,2.5,2.0,165.03
2023-10-18_07:05:50,3.0,2.1,172.42
2023-10-18_07:05:56,3.6,2.1,174.31
2023-10-18_07:06:01,4.0,2.2,176.53
2023-10-18_07:06:06,4.5,2.2,179.01
2023-10-18_07:06:12,4.9,2.2,180.38
2023-10-18_07:06:17,5.3,2.2,182.21
2023-10-18_07:06:22,5.7,2.3,184.48
2023-10-18_07:06:28,6.2,2.3,187.21
2023-10-18_07:06:33,6.6,2.3,187.76
2023-10-18_07:06:38,7.0,2.4,190.95
2023-10-18_07:06:43,7.4,2.4,191.29
2023-10-18_07:06:49,7.7,2.4,194.30
2023-10-18_07:06:54,8.1,2.4,196.84
2023-10-18_07:06:59,8.5,2.5,198.96
2023-10-18_07:07:05,8.8,2.5,201.93
2023-10-18_07:07:10,9.1,2.6,210.36
2023-10-18_07:07:15,9.5,2.6,207.83
2023-10-18_07:07:20,9.7,2.6,210.34
2023-10-18_07:07:26,10.1,2.6,212.82
2023-10-18_07:07:31,10.4,2.7,217.90
2023-10-18_07:07:36,10.7,2.7,218.16
2023-10-18_07:07:42,11.0,2.8,222.94
2023-10-18_07:07:47,11.3,2.8,223.69
2023-10-18_07:07:52,11.6,2.8,224.76
2023-10-18_07:07:58,11.8,2.8,224.76
2023-10-18_07:08:03,12.1,2.8,227.01
2023-10-18_07:08:08,12.3,2.8,228.91
2023-10-18_07:08:14,12.6,2.9,232.38
2023-10-18_07:08:19,12.9,2.9,236.18
2023-10-18_07:08:24,13.1,2.9,236.34
2023-10-18_07:08:29,13.3,3.0,241.75
2023-10-18_07:08:35,13.6,3.0,242.34
2023-10-18_07:08:40,13.8,3.0,245.52
2023-10-18_07:08:45,13.9,3.1,247.84
2023-10-18_07:08:51,14.2,3.1,252.67
2023-10-18_07:08:56,14.4,3.1,252.67
2023-10-18_07:09:01,14.6,3.2,256.54
2023-10-18_07:09:07,14.8,3.2,256.54
2023-10-18_07:09:12,15.0,3.3,263.74
2023-10-18_07:09:17,15.1,3.3,266.15
2023-10-18_07:09:23,15.4,3.3,266.16
2023-10-18_07:09:28,15.5,3.3,266.33
2023-10-18_07:09:33,15.7,3.3,266.38
2023-10-18_07:09:38,15.9,3.3,266.86
2023-10-18_07:09:44,16.1,3.3,267.12
2023-10-18_07:09:49,16.2,3.4,273.71
2023-10-18_07:09:54,16.4,3.4,274.68
2023-10-18_07:10:00,16.5,3.4,276.96
2023-10-18_07:10:05,16.7,3.5,279.45
2023-10-18_07:10:10,16.8,3.5,280.69
2023-10-18_07:10:16,17.0,3.5,282.09
2023-10-18_07:10:21,17.1,3.5,285.67
2023-10-18_07:10:26,17.3,3.6,292.47
2023-10-18_07:10:31,17.4,3.6,292.73
2023-10-18_07:10:37,17.6,3.7,294.79
2023-10-18_07:10:42,17.7,3.7,296.95
2023-10-18_07:10:47,17.8,3.7,296.95
2023-10-18_07:10:53,18.0,3.7,302.15
2023-10-18_07:10:58,18.1,3.7,302.15
2023-10-18_07:11:03,18.2,3.8,303.45
2023-10-18_07:11:09,18.3,3.8,309.89
2023-10-18_07:11:14,18.5,3.9,311.06
2023-10-18_07:11:19,18.6,3.9,311.32
2023-10-18_07:11:24,18.6,3.9,313.60
2023-10-18_07:11:30,18.8,3.9,314.47
2023-10-18_07:11:35,18.9,3.9,314.47
2023-10-18_07:11:40,19.0,4.0,318.71
2023-10-18_07:11:46,19.1,4.0,318.71
2023-10-18_07:11:51,19.2,4.0,318.97
2023-10-18_07:11:56,19.3,4.0,325.38
2023-10-18_07:12:01,19.4,4.1,327.56
2023-10-18_07:12:07,19.5,4.1,327.79
2023-10-18_07:12:12,19.5,4.1,329.59
2023-10-18_07:12:17,19.6,4.1,331.71
2023-10-18_07:12:23,19.7,4.1,331.71
2023-10-18_07:12:28,19.8,4.1,332.74
2023-10-18_07:12:33,19.8,4.2,338.98
2023-10-18_07:12:39,20.0,4.2,340.76
2023-10-18_07:12:44,20.1,4.2,340.76
2023-10-18_07:12:49,20.1,4.2,341.64
2023-10-18_07:12:54,20.2,4.3,347.64
2023-10-18_07:13:00,20.3,4.3,347.68
2023-10-18_07:13:05,20.4,4.3,349.74
2023-10-18_07:13:10,20.5,4.4,350.26
2023-10-18_07:13:16,20.6,4.4,352.40
2023-10-18_07:13:21,20.6,4.4,352.40
2023-10-18_07:13:26,20.7,4.4,356.78
2023-10-18_07:13:32,20.7,4.5,364.00
2023-10-18_07:13:37,20.8,4.6,365.98
2023-10-18_07:13:42,20.9,4.6,365.98
2023-10-18_07:13:48,20.9,4.6,365.98
2023-10-18_07:13:53,21.0,4.6,370.10
2023-10-18_07:13:58,21.0,4.7,377.83
2023-10-18_07:14:04,21.2,4.7,380.58
2023-10-18_07:14:09,21.2,4.8,382.12
2023-10-18_07:14:14,21.3,4.8,382.12
2023-10-18_07:14:19,21.3,4.8,382.12
2023-10-18_07:14:25,21.4,4.8,385.98
2023-10-18_07:14:30,21.4,4.9,393.20
2023-10-18_07:14:35,21.5,5.0,399.65
2023-10-18_07:14:41,21.6,5.0,399.65
2023-10-18_07:14:46,21.6,5.0,399.65
2023-10-18_07:14:51,21.7,5.0,399.65
2023-10-18_07:14:56,21.7,5.0,399.65
2023-10-18_07:15:02,21.8,5.0,402.36
2023-10-18_07:15:07,21.8,5.0,404.15
2023-10-18_07:15:13,21.9,5.0,404.15
2023-10-18_07:15:18,21.9,5.0,404.41
2023-10-18_07:15:23,22.0,5.1,406.46
2023-10-18_07:15:28,22.1,5.1,410.66
2023-10-18_07:15:34,22.1,5.1,410.66
2023-10-18_07:15:39,22.2,5.1,410.92
2023-10-18_07:15:44,22.2,5.1,411.18
2023-10-18_07:15:50,22.2,5.2,417.61
2023-10-18_07:15:55,22.3,5.3,424.30
2023-10-18_07:16:00,22.4,5.3,426.84
2023-10-18_07:16:05,22.4,5.3,426.84
2023-10-18_07:16:11,22.4,5.3,426.84
2023-10-18_07:16:16,22.5,5.3,429.02
2023-10-18_07:16:21,22.5,5.4,431.64
2023-10-18_07:16:27,22.6,5.4,431.64
2023-10-18_07:16:32,22.6,5.4,431.68
2023-10-18_07:16:37,22.6,5.4,436.32
2023-10-18_07:16:43,22.7,5.5,442.75
2023-10-18_07:16:48,22.7,5.5,444.60
2023-10-18_07:16:53,22.7,5.5,444.60
2023-10-18_07:16:58,22.8,5.5,444.60
2023-10-18_07:17:04,22.8,5.6,446.00
2023-10-18_07:17:09,22.9,5.6,449.82
2023-10-18_07:17:14,22.9,5.6,449.82
2023-10-18_07:17:20,22.9,5.6,449.82
2023-10-18_07:17:25,23.0,5.6,452.51
2023-10-18_07:17:30,23.0,5.7,458.95
2023-10-18_07:17:35,23.0,5.8,464.90
2023-10-18_07:17:41,23.1,5.8,465.22
2023-10-18_07:17:46,23.1,5.8,465.98
2023-10-18_07:17:51,23.1,5.8,465.98
2023-10-18_07:17:57,23.1,5.8,468.81
2023-10-18_07:18:02,23.2,5.9,476.80
2023-10-18_07:18:07,23.2,6.0,483.51
2023-10-18_07:18:13,23.3,6.1,491.40
2023-10-18_07:18:18,23.3,6.1,491.40
2023-10-18_07:18:24,23.3,6.1,491.40
2023-10-18_07:18:29,23.4,6.1,491.56
2023-10-18_07:18:34,23.4,6.1,491.56
2023-10-18_07:18:39,23.5,6.1,490.91
2023-10-18_07:18:45,23.5,6.1,490.91
2023-10-18_07:18:50,23.5,6.1,490.91
